sample,image,grid,magnification
WM4007_T0_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_484_T0_6_28_22_cut_level_0_oid_0.tiff,,37.91497945
WM4007_T0_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_484_T0_8_18_22_cut_level_0_oid_0.tiff,,37.91497945
WM4007_T1_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_426_T1_6_28_22_cut_level_0_oid_0.tiff,,37.91497945
WM4007_T1_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_426_T1_8_18_22_cut_level_0_oid_0.tiff,,37.91497945
WM4007_T2_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_437_T2_6_28_22_cut_level_0_oid_0.tiff,,37.91497945
WM4007_T2_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_437_T2_8_18_22_cut_level_0_oid_0.tiff,,37.91497945
WM4007_T3_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_17_T3_6_28_22_cut_level_0_oid_0.tiff,,37.91497945
WM4007_T3_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_17_T3_8_18_22_cut_level_0_oid_0.tiff,,37.91497945
WM4007_T4_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_006_T4_6_28_22_cut_level_0_oid_0.tiff,,37.91497945
WM4007_T4_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_6_T4_8_18_22_cut_level_0_oid_0.tiff,,37.91497945
WM4007_TC_S1_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_439_CTRL_6_28_22_cut_level_0_oid_0.tiff,,37.91497945
WM4007_TC_S2_AD,/projects/chuang-lab/USERS/domans/melanoma_PDX_ST/additionalHandE/tiff/WM4007_3/WM4007_439_CTRL_8_18_22_cut_level_0_oid_0.tiff,,37.91497945
