sample,image,grid,roifile,mpp
WM4237_TE_S1_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200092_WM4237-1-1337/img/SC2200092.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200092_WM4237-1-1337/spaceranger/spatial/,,0.2208187960959237
WM4237_TE_S2_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200093_WM4237-1-1337/img/SC2200093.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200093_WM4237-1-1337/spaceranger/spatial/,,0.2208187960959237
WM4237_TE_S3_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200094_WM4237-1-1337/img/SC2200094.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200094_WM4237-1-1337/spaceranger/spatial/,,0.2208187960959237
WM4237_TE_S4_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200095_WM4237-1-1337/img/SC2200095.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200095_WM4237-1-1337/spaceranger/spatial/,,0.2208187960959237
WM4237_T0_S1_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200319_WM4237-T0-Day0-197/img/SC2200319.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200319_WM4237-T0-Day0-197/spaceranger/spatial/,,0.22075
WM4237_T0_S2_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200320_WM4237-T0-Day0-197/img/SC2200320.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200320_WM4237-T0-Day0-197/spaceranger/spatial/,,0.22075
WM4237_T1_S1_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200323_WM4237-T1-Day14-229/img/SC2200323.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200323_WM4237-T1-Day14-229/spaceranger/spatial/,,0.22075
WM4237_T1_S2_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200324_WM4237-T1-Day14-229/img/SC2200324.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200324_WM4237-T1-Day14-229/spaceranger/spatial/,,0.22075
WM4237_TC_S1_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200321_WM4237-CTRL-Day42-207/img/SC2200321.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200321_WM4237-CTRL-Day42-207/spaceranger/spatial/,,0.22075
WM4237_TC_S2_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200322_WM4237-CTRL-Day42-207/img/SC2200322.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200322_WM4237-CTRL-Day42-207/spaceranger/spatial/,,0.22075
WM4237_T2_S1_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200325_WM4237-T2-Day42-211/img/SC2200325.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200325_WM4237-T2-Day42-211/spaceranger/spatial/,,0.22075
WM4237_T2_S2_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200326_WM4237-T2-Day42-211/img/SC2200326.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200326_WM4237-T2-Day42-211/spaceranger/spatial/,,0.22075
WM4237_T3_S1_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200327_WM4237-T3-Day70-221/img/SC2200327.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200327_WM4237-T3-Day70-221/spaceranger/spatial/,,0.22075
WM4237_T3_S2_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200328_WM4237-T3-Day70-221/img/SC2200328.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200328_WM4237-T3-Day70-221/spaceranger/spatial/,,0.22075
WM4237_T4_S1_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200329_WM4237-T4-Day94-214/img/SC2200329.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200329_WM4237-T4-Day94-214/spaceranger/spatial/,,0.22075
WM4237_T4_S2_ST,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200330_WM4237-T4-Day94-214/img/SC2200330.tiff,/projects/chuang-lab/rubinstein/ST_melanomaPDX/data/SC2200330_WM4237-T4-Day94-214/spaceranger/spatial/,,0.22075
