sample,fastq,image,grid,roifile,mpp
JDC_WP_001_s_ST,,/sdata/activities/kappsen-tmc/visium/SC2300284R_JDC-WP-001-s/img/SC2300284R.tiff,/sdata/activities/kappsen-tmc/visium/SC2300284R_JDC-WP-001-s/spaceranger/spatial/,,0.2208187960959237
JDC_WP_001_x_ST,,/sdata/activities/kappsen-tmc/visium/SC2300285R_JDC-WP-001-x/img/SC2300285R.tiff,/sdata/activities/kappsen-tmc/visium/SC2300285R_JDC-WP-001-x/spaceranger/spatial/,,0.2208187960959237
JDC_WP_001_l_ST,,/sdata/activities/kappsen-tmc/visium/SC2300286R_JDC-WP-001-l/img/SC2300286R.tiff,/sdata/activities/kappsen-tmc/visium/SC2300286R_JDC-WP-001-l/spaceranger/spatial/,,0.2208187960959237
JDC_WP_001_c_ST,,/sdata/activities/kappsen-tmc/visium/SC2300287R_JDC-WP-001-c/img/SC2300287R.tiff,/sdata/activities/kappsen-tmc/visium/SC2300287R_JDC-WP-001-c/spaceranger/spatial/,,0.2208187960959237
JDC_WP_002_c_ST,,/sdata/activities/kappsen-tmc/visium/SC2300294R_JDC-WP-002-c/img/SC2300294R.tiff,/sdata/activities/kappsen-tmc/visium/SC2300294R_JDC-WP-002-c/spaceranger/spatial/,,0.2208187960959237
JDC_WP_002_j_ST,,/sdata/activities/kappsen-tmc/visium/SC2300295R_JDC-WP-002-j/img/SC2300295R.tiff,/sdata/activities/kappsen-tmc/visium/SC2300295R_JDC-WP-002-j/spaceranger/spatial/,,0.2208187960959237
JDC_WP_002_r_ST,,/sdata/activities/kappsen-tmc/visium/SC2300296R_JDC-WP-002-r/img/SC2300296R.tiff,/sdata/activities/kappsen-tmc/visium/SC2300296R_JDC-WP-002-r/spaceranger/spatial/,,0.2208187960959237
JDC_WP_002_v_ST,,/sdata/activities/kappsen-tmc/visium/SC2300297R_JDC-WP-002-v/img/SC2300297R.tiff,/sdata/activities/kappsen-tmc/visium/SC2300297R_JDC-WP-002-v/spaceranger/spatial/,,0.2208187960959237
JDC_WP_004_n_ST,,/sdata/activities/kappsen-tmc/visium/SC2300423_JDC-WP-004-n/img/SC2300423.tiff,/sdata/activities/kappsen-tmc/visium/SC2300423_JDC-WP-004-n/spaceranger/spatial/,,0.2208187960959237
JDC_WP_004_c_ST,,/sdata/activities/kappsen-tmc/visium/SC2300424_JDC-WP-004-c/img/SC2300424.tiff,/sdata/activities/kappsen-tmc/visium/SC2300424_JDC-WP-004-c/spaceranger/spatial/,,0.2208187960959237
