sample,image,grid,roifile,mpp
TCGA-3L-AA1B-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-3L-AA1B-01Z-00-DX1.8923A151-A690-40B7-9E5A-FCBEDFC2394F.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-3L-AA1B-01Z-00-DX1.8923A151-A690-40B7-9E5A-FCBEDFC2394F.oid0.json,0.2527
TCGA-3L-AA1B-01Z-00-DX2.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-3L-AA1B-01Z-00-DX2.17CE3683-F4B1-4978-A281-8F620C4D77B4.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-3L-AA1B-01Z-00-DX2.17CE3683-F4B1-4978-A281-8F620C4D77B4.oid0.json,0.2527
TCGA-4N-A93T-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-4N-A93T-01Z-00-DX1.82E240B1-22C3-46E3-891F-0DCE35C43F8B.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-4N-A93T-01Z-00-DX1.82E240B1-22C3-46E3-891F-0DCE35C43F8B.oid0.json,0.2527
TCGA-4N-A93T-01Z-00-DX2.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-4N-A93T-01Z-00-DX2.875E7F95-A6D4-4BEB-A331-F9D8080898C2.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-4N-A93T-01Z-00-DX2.875E7F95-A6D4-4BEB-A331-F9D8080898C2.oid0.json,0.2527
TCGA-4T-AA8H-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-4T-AA8H-01Z-00-DX1.A46C759C-74A2-4724-B6B5-DECA0D16E029.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-4T-AA8H-01Z-00-DX1.A46C759C-74A2-4724-B6B5-DECA0D16E029.oid0.json,0.2525
TCGA-5M-AAT5-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-5M-AAT5-01Z-00-DX1.548E7CEB-48FB-4037-A616-39AB025E7A73.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-5M-AAT5-01Z-00-DX1.548E7CEB-48FB-4037-A616-39AB025E7A73.oid0.json,0.2525
TCGA-5M-AAT5-01Z-00-DX1.1,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-5M-AAT5-01Z-00-DX1.548E7CEB-48FB-4037-A616-39AB025E7A73.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-5M-AAT5-01Z-00-DX1.548E7CEB-48FB-4037-A616-39AB025E7A73.oid1.json,0.2525
TCGA-5M-AAT6-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-5M-AAT6-01Z-00-DX1.8834C952-14E3-4491-8156-52FC917BB014.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-5M-AAT6-01Z-00-DX1.8834C952-14E3-4491-8156-52FC917BB014.oid0.json,0.2525
TCGA-A6-2675-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-A6-2675-01Z-00-DX1.d37847d6-c17f-44b9-b90a-84cd1946c8ab.svs-10.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-A6-2675-01Z-00-DX1.d37847d6-c17f-44b9-b90a-84cd1946c8ab.svs-10.oid0.json,0.252
TCGA-A6-A56B-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-A6-A56B-01Z-00-DX1.52FE9FA5-05F1-49EA-98BE-887CF7B3A52F-334.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-A6-A56B-01Z-00-DX1.52FE9FA5-05F1-49EA-98BE-887CF7B3A52F-334.oid0.json,0.2465
TCGA-A6-A5ZU-01Z-00-DX2.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-A6-A5ZU-01Z-00-DX2.221EC8DE-4029-4ED2-8D84-95647BD39E03.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-A6-A5ZU-01Z-00-DX2.221EC8DE-4029-4ED2-8D84-95647BD39E03.oid0.json,0.2465
TCGA-AA-3521-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3521-01Z-00-DX1.9d6be975-7be1-4f6c-99db-5101369c6624.svs-59.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3521-01Z-00-DX1.9d6be975-7be1-4f6c-99db-5101369c6624.svs-59.oid0.json,0.2325
TCGA-AA-3529-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3529-01Z-00-DX1.99453fef-afe8-4a43-a64f-df2d48ef9e55.svs-65.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3529-01Z-00-DX1.99453fef-afe8-4a43-a64f-df2d48ef9e55.svs-65.oid0.json,0.2325
TCGA-AA-3531-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3531-01Z-00-DX1.19cdaa4b-5a53-4198-90da-5800827d90bf.svs-67.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3531-01Z-00-DX1.19cdaa4b-5a53-4198-90da-5800827d90bf.svs-67.oid0.json,0.2325
TCGA-AA-3561-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3561-01Z-00-DX1.1b5a2925-53f9-470f-a62c-cc2e5d5abb58.svs-79.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3561-01Z-00-DX1.1b5a2925-53f9-470f-a62c-cc2e5d5abb58.svs-79.oid0.json,0.2325
TCGA-AA-3684-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3684-01Z-00-DX1.c6be6ea4-fa92-4499-b458-85c3a8b1e3b6.svs-91.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3684-01Z-00-DX1.c6be6ea4-fa92-4499-b458-85c3a8b1e3b6.svs-91.oid0.json,0.2325
TCGA-AA-3947-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3947-01Z-00-DX1.77005e19-8a8e-4b82-89e9-c81af9b41193.svs-76.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3947-01Z-00-DX1.77005e19-8a8e-4b82-89e9-c81af9b41193.svs-76.oid0.json,0.2325
TCGA-AA-3966-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3966-01Z-00-DX1.7bc0c76e-f2d9-4abd-b63c-dad01aa4b1f7.svs-79.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3966-01Z-00-DX1.7bc0c76e-f2d9-4abd-b63c-dad01aa4b1f7.svs-79.oid0.json,0.2325
TCGA-AA-3986-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-3986-01Z-00-DX1.db60e495-c0eb-416c-b65b-55ce62ed10b0.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-3986-01Z-00-DX1.db60e495-c0eb-416c-b65b-55ce62ed10b0.oid0.json,0.2325
TCGA-AA-A00J-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-A00J-01Z-00-DX1.BA85D337-6687-44A6-A8DD-0CE889134BA0.svs-154.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-A00J-01Z-00-DX1.BA85D337-6687-44A6-A8DD-0CE889134BA0.svs-154.oid0.json,0.2325
TCGA-AA-A010-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-A010-01Z-00-DX1.AA174B84-1EF2-47EA-85A6-516B3328325D.svs-163.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-A010-01Z-00-DX1.AA174B84-1EF2-47EA-85A6-516B3328325D.svs-163.oid0.json,0.2325
TCGA-AA-A01P-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-A01P-01Z-00-DX1.D7AAA4F0-C956-4346-8948-DADACDFB3B69.svs-169.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-A01P-01Z-00-DX1.D7AAA4F0-C956-4346-8948-DADACDFB3B69.svs-169.oid0.json,0.2325
TCGA-AA-A01Q-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-A01Q-01Z-00-DX1.4432694B-F24B-4942-91FD-27DEF1D84921.svs-170.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-A01Q-01Z-00-DX1.4432694B-F24B-4942-91FD-27DEF1D84921.svs-170.oid0.json,0.2325
TCGA-AA-A01R-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-A01R-01Z-00-DX1.5D2BEC13-8F61-49D4-A96E-4C6C44BD5A38.svs-171.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-A01R-01Z-00-DX1.5D2BEC13-8F61-49D4-A96E-4C6C44BD5A38.svs-171.oid0.json,0.2325
TCGA-AA-A01V-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-A01V-01Z-00-DX1.1AC200C2-F577-421D-B91F-F0A7251C3D90.svs-174.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-A01V-01Z-00-DX1.1AC200C2-F577-421D-B91F-F0A7251C3D90.svs-174.oid0.json,0.2325
TCGA-AA-A029-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-A029-01Z-00-DX1.36BA3129-431D-4AE5-98E6-BA064D0B5062.svs-178.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-A029-01Z-00-DX1.36BA3129-431D-4AE5-98E6-BA064D0B5062.svs-178.oid0.json,0.2325
TCGA-AA-A03J-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AA-A03J-01Z-00-DX1.4E57E86E-ADEE-4837-9F91-E9CA141F7ACC.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AA-A03J-01Z-00-DX1.4E57E86E-ADEE-4837-9F91-E9CA141F7ACC.oid0.json,0.2325
TCGA-AD-6889-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AD-6889-01Z-00-DX1.5269A81E-5391-4875-8F2A-6505BC5BBFD9-348.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AD-6889-01Z-00-DX1.5269A81E-5391-4875-8F2A-6505BC5BBFD9-348.oid0.json,0.252
TCGA-AM-5820-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AM-5820-01Z-00-DX1.365538bf-65ff-4fcd-8862-90627484431c.svs-192.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AM-5820-01Z-00-DX1.365538bf-65ff-4fcd-8862-90627484431c.svs-192.oid0.json,0.252
TCGA-AM-5821-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AM-5821-01Z-00-DX1.0851bd43-6c23-4db3-a50a-7c9fb5080150.svs-193.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AM-5821-01Z-00-DX1.0851bd43-6c23-4db3-a50a-7c9fb5080150.svs-193.oid0.json,0.252
TCGA-AY-6196-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AY-6196-01Z-00-DX1.747B47B0-386A-4BA9-A8B7-274F1699D15E.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AY-6196-01Z-00-DX1.747B47B0-386A-4BA9-A8B7-274F1699D15E.oid0.json,0.252
TCGA-AY-6197-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AY-6197-01Z-00-DX1.AD42F96E-6583-4AB8-A6BD-C8334EA9DE14.svs-198.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AY-6197-01Z-00-DX1.AD42F96E-6583-4AB8-A6BD-C8334EA9DE14.svs-198.oid0.json,0.252
TCGA-AY-6197-01Z-00-DX1.1,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AY-6197-01Z-00-DX1.AD42F96E-6583-4AB8-A6BD-C8334EA9DE14.svs-198.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AY-6197-01Z-00-DX1.AD42F96E-6583-4AB8-A6BD-C8334EA9DE14.svs-198.oid1.json,0.252
TCGA-AY-A71X-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AY-A71X-01Z-00-DX1.68F9BC0F-1D60-4AEF-9083-509387038F03.svs-200.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AY-A71X-01Z-00-DX1.68F9BC0F-1D60-4AEF-9083-509387038F03.svs-200.oid0.json,0.2472
TCGA-AY-A71X-01Z-00-DX1.1,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AY-A71X-01Z-00-DX1.68F9BC0F-1D60-4AEF-9083-509387038F03.svs-200.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AY-A71X-01Z-00-DX1.68F9BC0F-1D60-4AEF-9083-509387038F03.svs-200.oid1.json,0.2472
TCGA-AZ-4308-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-4308-01Z-00-DX1.804e054d-e206-4b34-a992-86317ef515d9.svs-201.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-4308-01Z-00-DX1.804e054d-e206-4b34-a992-86317ef515d9.svs-201.oid0.json,0.252
TCGA-AZ-4313-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-4313-01Z-00-DX1.5e7ecf69-d1fd-4997-9dcc-ab8e9f10b423.svs-202.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-4313-01Z-00-DX1.5e7ecf69-d1fd-4997-9dcc-ab8e9f10b423.svs-202.oid0.json,0.252
TCGA-AZ-4315-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-4315-01Z-00-DX1.1a2c2771-3e59-47c3-b380-42110c545e6b.svs-203.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-4315-01Z-00-DX1.1a2c2771-3e59-47c3-b380-42110c545e6b.svs-203.oid0.json,0.252
TCGA-AZ-4614-01Z-00-DX1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-AZ-4614-01Z-00-DX1.c1488dfe-528f-4dd4-b5f8-da81fbb4ec0b-354.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-AZ-4614-01Z-00-DX1.c1488dfe-528f-4dd4-b5f8-da81fbb4ec0b-354.oid0.json,0.252
