sample,image,grid,roifile,mpp
TCGA-3L-AA1B-01A-01-TS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-3L-AA1B-01A-01-TS1.9C415218-D5B4-4945-B243-F42A4C8C0484.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-3L-AA1B-01A-01-TS1.9C415218-D5B4-4945-B243-F42A4C8C0484.oid0.json,0.2525
TCGA-3L-AA1B-01A-01-TS1.1,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-3L-AA1B-01A-01-TS1.9C415218-D5B4-4945-B243-F42A4C8C0484.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-3L-AA1B-01A-01-TS1.9C415218-D5B4-4945-B243-F42A4C8C0484.oid1.json,0.2525
TCGA-4N-A93T-01A-01-TS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-4N-A93T-01A-01-TS1.9258D514-40C1-480A-8FA8-D4E8B3819BDE.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-4N-A93T-01A-01-TS1.9258D514-40C1-480A-8FA8-D4E8B3819BDE.oid0.json,0.2525
TCGA-4N-A93T-01A-01-TS1.1,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-4N-A93T-01A-01-TS1.9258D514-40C1-480A-8FA8-D4E8B3819BDE.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-4N-A93T-01A-01-TS1.9258D514-40C1-480A-8FA8-D4E8B3819BDE.oid1.json,0.2525
TCGA-4T-AA8H-01A-01-TSA.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-4T-AA8H-01A-01-TSA.17AD2FB9-4E87-42BE-81A1-5E0035137749.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-4T-AA8H-01A-01-TSA.17AD2FB9-4E87-42BE-81A1-5E0035137749.oid0.json,0.2525
TCGA-4T-AA8H-01A-01-TSA.1,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-4T-AA8H-01A-01-TSA.17AD2FB9-4E87-42BE-81A1-5E0035137749.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-4T-AA8H-01A-01-TSA.17AD2FB9-4E87-42BE-81A1-5E0035137749.oid1.json,0.2525
TCGA-5M-AAT4-01A-01-TS1.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-5M-AAT4-01A-01-TS1.70508921-9A9C-4374-8052-248FF7FF0BB1.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-5M-AAT4-01A-01-TS1.70508921-9A9C-4374-8052-248FF7FF0BB1.oid0.json,0.2527
TCGA-5M-AAT4-01A-01-TS1.1,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-5M-AAT4-01A-01-TS1.70508921-9A9C-4374-8052-248FF7FF0BB1.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-5M-AAT4-01A-01-TS1.70508921-9A9C-4374-8052-248FF7FF0BB1.oid1.json,0.2527
TCGA-5M-AAT5-01A-02-TS2.0,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-5M-AAT5-01A-02-TS2.9FA3C6DB-5993-4AC3-B766-54D36297E0AA.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-5M-AAT5-01A-02-TS2.9FA3C6DB-5993-4AC3-B766-54D36297E0AA.oid0.json,0.2527
TCGA-5M-AAT5-01A-02-TS2.1,/projects/chuang-lab/TCGA-COAD/WSI/TCGA-5M-AAT5-01A-02-TS2.9FA3C6DB-5993-4AC3-B766-54D36297E0AA.svs,,/projects/rubinstein-lab/USERS/domans/COAD/tcga_coad_svs_thumbs/TCGA-5M-AAT5-01A-02-TS2.9FA3C6DB-5993-4AC3-B766-54D36297E0AA.oid1.json,0.2527
